event_date,inst_date,pkg,utm_source,utm_campaign,utm_medium,utm_creative,utm_country,cv,user_id,template_id,edit_action,prev_action,tpl_action,result_action,ud_result_info,result_watermark,photo_action,eventCount
2022-10-20,2022-09-25,com.video.music.editor.maker,TikTok,catcut_伊斯兰_WSY_0918 (1744272685038641),cc_沙特_WSY_0921 (1744505458052145),in_220902_chenweiyu_9X16_vido7.mp4_002 (1744505461195809),ae,1.4.24,4cd8c6459649ade9cd1e9a6b97fd57a18f73bc6b,b4c5,,,120,,,,,1
2022-10-20,2022-10-19,com.video.music.editor.maker,Organic,,,,ae,1.4.24,0e9a45755a9c916f93bb348ce6ccd7d924103f44,29c1e108699d4ee7b8cdcef979582d52,,,120,,,,,1
2022-10-20,2022-10-13,com.video.music.editor.maker,TikTok,catcut_阿联酋_WSY_1008 (1746102095237153),cc_阿联酋_WSY_1008 (1746102105288705),catcut_in_220920_liaoluhui_1X1_couple3.mp4_002 (1746102107907122),ae,1.4.24,417e946646cbb5f6601625eadb7c60d48670d837,0b9ece7567474c128c09d377be85919a,,,120,,,,,1
2022-10-20,2022-10-20,com.video.music.editor.maker,Unattributed,,,,ae,1.4.24,9515e6717592bb3e7af572482f372c49417a8b50,73e2be7abc2948c2ab2e63ce6b6ca2e7,,,120,,,,,1
2022-10-20,2022-10-12,com.video.music.editor.maker,TikTok,catcut_AE_JY_1003_couple (1745644120189969),catcut_AE_JY_1003_couple_1t5 (1745644135555122),catcut_in_220920_liaoluhui_1X1_couple3.mp4_001 (1745644146555921),ae,1.4.24,33231377c9f40157c3ace8fe597955067409b525,92af,,,120,,,,,1
2022-10-20,2022-10-20,com.video.music.editor.maker,TikTok,catcut_中东_WSY_1012_zgp (1746296507642898),catcut_中东_WSY_1012 (1746451611893778),in_221010_zhangguiping_1X1_vido5.mp4_001 (1746451617354786),ae,1.4.24,d83e30db288b9da59bd661894e2ea935081c2f0f,2c08ca956e2d4891b3fd05b4bd0c1551,,,120,,,,,1
2022-10-20,2022-09-24,com.video.music.editor.maker,TikTok,catcut_中东_WSY_0930 (1745363009158177),0930_catcut_中东_WSY_优秀素材 (1745363010721809),catcut_in_220920_liaoluhui_1X1_boy04.mp4_002 (1745363019792402),ae,1.4.24,ce0c3a8b5f0d48d151d987c8c29fd394dfe2fe57,6b2e,,,120,,,,,1
2022-10-20,2022-10-20,com.video.music.editor.maker,Unattributed,,,,ae,1.4.24,9515e6717592bb3e7af572482f372c49417a8b50,4e0c,,,120,,,,,1
2022-10-20,2022-10-12,com.video.music.editor.maker,TikTok,catcut_AE_JY_1003_couple (1745644120189969),catcut_AE_JY_1003_couple_1t5 (1745644135555122),catcut_in_220920_liaoluhui_1X1_couple3.mp4_001 (1745644146555921),ae,1.4.24,0074a2cb5b9c68971f4aafd6ffaa320a74bb0c87,6df6239d18964be399901f0de4b29f3f,,,120,,,,,1
2022-10-20,2022-10-13,com.video.music.editor.maker,Organic,,,,ae,1.4.24,624e859a92d9aaff6a6297f4c9d302339efaf44c,b340,,,120,,,,,1
2022-10-20,2022-10-20,com.video.music.editor.maker,Unattributed,,,,ae,1.4.24,9515e6717592bb3e7af572482f372c49417a8b50,d8dd2e5faeb046f1afe9281ac9d831a6,,,120,,,,,1
2022-10-20,2022-09-23,com.video.music.editor.maker,Organic,,,,ae,1.4.24,d641a8cf54a46120503b9df4da9cab1b7d6b4c93,29da507a4ede4274945ce48f245749c2,,,120,,,,,1
2022-10-20,2022-10-20,com.video.music.editor.maker,TikTok,catcut_中东_WSY_1012_zgp (1746296507642898),catcut_中东_WSY_1012 (1746451611893778),in_221010_zhangguiping_1X1_vido5.mp4_001 (1746451617354786),ae,1.4.24,d83e30db288b9da59bd661894e2ea935081c2f0f,7590,,,120,,,,,1
2022-10-20,2022-10-01,com.video.music.editor.maker,TikTok,catcut_gcc_出量_wl_02_0921 (1744578549881857),catcut_gcc_出量_wl_02_0921 (1744578548646930),in_220831_chenweiyu_9X16_vido3--24.mp4_001 (1744578552747042),ae,1.4.24,0f2d5c07b84a606d4e66d47de2862f3cdf20ebac,4dc9,,,120,,,,,1
2022-10-20,2022-10-03,com.video.music.editor.maker,TikTok,catcut_伊斯兰_WSY_0918_阿联酋 (1744272685038641),cc_沙特_WSY_0921 (1744505458052145),pk_210816_chenweiyu_1X1_vido03.mp4_001 (1744505458075665),ae,1.4.24,f8921875f365f20ef1f5ab3b12fb128f3be4b723,3d23,,,120,,,,,1
2022-10-20,2022-09-24,com.video.music.editor.maker,TikTok,catcut_mid_JY_0914_jingpin_chuliang (1743936836583458),catcut_mid_JY_0914_jingpin_chuliang (1743936836371473),vido03_chenweiyu_16X9_220728.mp4 (1743936845435906),ae,1.4.24,a091d3174d0eb8918efe5326a88873972751d13f,d739c255ecbe460399986f0a2bfad48b,,,120,,,,,1
2022-10-20,2022-10-12,com.video.music.editor.maker,TikTok,catcut_AE_JY_1003_couple (1745644120189969),catcut_AE_JY_1003_couple_1t5 (1745644135555122),catcut_in_220920_liaoluhui_1X1_couple3.mp4_001 (1745644146555921),ae,1.4.24,4a6fc1fa8ce9b23ffe5387ba27770816393ab360,ee81f019dc0f472687b59d513bbe31c3,,,120,,,,,1
2022-10-20,2022-10-19,com.video.music.editor.maker,Organic,,,,ae,1.4.24,0e9a45755a9c916f93bb348ce6ccd7d924103f44,cae2dc8507514928854a229baa1702d6,,,120,,,,,1
2022-10-20,2022-10-20,com.video.music.editor.maker,TikTok,catcut_ae_cp1-5_wl_02_1010 (1746294937353249),catcut_ae_cp1-5_wl_02_1010 (1746294943790098),catcut_in_220920_liaoluhui_1X1_couple3.mp4_001 (1746295047880721),ae,1.4.24,0e19aae89eeb1f3b977611981c290f8e4269f6bf,72a48499787a4386a17c300ca601fd8a,,,120,,,,,1
2022-10-20,2022-09-24,com.video.music.editor.maker,TikTok,catcut_中东_WSY_0930 (1745363009158177),0930_catcut_中东_WSY_优秀素材 (1745363010721809),catcut_in_220920_liaoluhui_1X1_boy04.mp4_002 (1745363019792402),ae,1.4.24,ce0c3a8b5f0d48d151d987c8c29fd394dfe2fe57,be4ddc039bea4308aace52b24017c3bd,,,120,,,,,1
2022-10-20,2022-10-13,com.video.music.editor.maker,Untrusted Devices,Anonymous IPs,,,ae,1.4.24,79cb777b25854992dcd177ec4eacd8575c360e28,4e40,,,120,,,,,1
2022-10-20,2022-10-20,com.video.music.editor.maker,Unattributed,,,,ae,1.4.24,9515e6717592bb3e7af572482f372c49417a8b50,9f0c,,,120,,,,,1
2022-10-20,2022-10-13,com.video.music.editor.maker,TikTok,catcut_中东_WSY_0930 (1745363009158177),0930_catcut_中东_WSY_优秀素材 (1745363010721809),catcut_in_220920_liaoluhui_1X1_boy05.mp4_005 (1745363019796514),ae,1.4.24,21e0aeaa3aef167957a7f0c127fabd3aa22ad007,062456ab1d6f4262b77aa714da77e39b,,,120,,,,,1
2022-10-20,2022-10-20,com.video.music.editor.maker,Unattributed,,,,ae,1.4.24,9515e6717592bb3e7af572482f372c49417a8b50,1eb8,,,120,,,,,1
2022-10-20,2022-10-20,com.video.music.editor.maker,Unattributed,,,,ae,1.4.24,9515e6717592bb3e7af572482f372c49417a8b50,72a48499787a4386a17c300ca601fd8a,,,120,,,,,1
2022-10-20,2022-10-20,com.video.music.editor.maker,TikTok,catcut_中东_WSY_1012_zgp (1746296507642898),catcut_中东_WSY_1012 (1746451611893778),in_221010_zhangguiping_1X1_vido5.mp4_001 (1746451617354786),ae,1.4.24,d83e30db288b9da59bd661894e2ea935081c2f0f,c4bd9fd8a7fe478882e239c35cbb3292,,,120,,,,,1
2022-10-20,2022-10-12,com.video.music.editor.maker,TikTok,catcut_AE_JY_1003_couple (1745644120189969),catcut_AE_JY_1003_couple_1t5 (1745644135555122),catcut_in_220920_liaoluhui_1X1_couple3.mp4_001 (1745644146555921),ae,1.4.24,35d02f2a6e48622d0410d4ab577166324ba2d170,2c08ca956e2d4891b3fd05b4bd0c1551,,,120,,,,,1
2022-10-20,2022-10-20,com.video.music.editor.maker,Unattributed,,,,ae,1.4.24,9515e6717592bb3e7af572482f372c49417a8b50,4dc9,,,120,,,,,1
2022-10-20,2022-10-12,com.video.music.editor.maker,Organic,,,,ae,1.4.24,6ff76631394280a8a39b2bd567026b8335ce6133,29da507a4ede4274945ce48f245749c2,,,120,,,,,1
2022-10-20,2022-09-25,com.video.music.editor.maker,TikTok,catcut_伊斯兰_WSY_0918 (1744272685038641),cc_沙特_WSY_0921 (1744505458052145),in_220902_chenweiyu_9X16_vido7.mp4_002 (1744505461195809),ae,1.4.24,4cd8c6459649ade9cd1e9a6b97fd57a18f73bc6b,8d526a9913a545eb8a49f9a27ba7b298,,,120,,,,,1
2022-10-20,2022-10-12,com.video.music.editor.maker,TikTok,catcut_AE_JY_1003_couple (1745644120189969),catcut_AE_JY_1003_couple_1t5 (1745644135555122),catcut_in_220920_liaoluhui_1X1_couple3.mp4_001 (1745644146555921),ae,1.4.24,0074a2cb5b9c68971f4aafd6ffaa320a74bb0c87,d739c255ecbe460399986f0a2bfad48b,,,120,,,,,1
2022-10-20,2022-10-01,com.video.music.editor.maker,TikTok,catcut_gcc_出量_wl_02_0921 (1744578549881857),catcut_gcc_出量_wl_02_0921 (1744578548646930),in_220831_chenweiyu_9X16_vido3--24.mp4_001 (1744578552747042),ae,1.4.24,0f2d5c07b84a606d4e66d47de2862f3cdf20ebac,29da507a4ede4274945ce48f245749c2,,,120,,,,,1
2022-10-20,2022-10-11,com.video.music.editor.maker,TikTok,catcut_AE_JY_1003_couple (1745644120189969),catcut_AE_JY_1003_couple_1t5 (1745644135555122),catcut_in_220920_liaoluhui_1X1_couple3.mp4_001 (1745644146555921),ae,1.4.24,a860e6e77e8a7b3e8091809313706af62859a462,756e537039f94e869d592a64117a752c,,,120,,,,,1
2022-10-20,2022-09-25,com.video.music.editor.maker,TikTok,catcut_伊斯兰_WSY_0918 (1744272685038641),cc_沙特_WSY_0921 (1744505458052145),in_220902_chenweiyu_9X16_vido7.mp4_002 (1744505461195809),ae,1.4.24,4cd8c6459649ade9cd1e9a6b97fd57a18f73bc6b,2da2,,,120,,,,,1
